"","station","lat","lon"
"1","T0N108W",0,-108
"2","T0N110W",0,-110
"3","T0N125W",0,-125
"4","T0N140W",0,-140
"5","T0N152W",0,-152
"6","T0N155W",0,-155
"7","T0N165E",0,165
"8","T0N170E",0,170
"9","T0N170W",0,-170
"10","T0N176W",0,-176
"11","T0N180W",0,-180
"12","T0N95W",0,-95
"13","T10N95W",10,-95
"14","T12N95W",12,-95
"15","T1N153W",1,-153
"16","T1S153W",-1,-153
"17","T1S167E",-1,167
"18","T2N110W",2,-110
"19","T2N125W",2,-125
"20","T2N140W",2,-140
"21","T2N155W",2,-155
"22","T2N157W",2,-157
"23","T2N165E",2,165
"24","T2N170W",2,-170
"25","T2N180W",2,-180
"26","T2N95W",2,-95
"27","T2S110W",-2,-110
"28","T2S125W",-2,-125
"29","T2S140W",-2,-140
"30","T2S155W",-2,-155
"31","T2S165E",-2,165
"32","T2S170W",-2,-170
"33","T2S180W",-2,-180
"34","T2S95W",-2,-95
"35","T5N110W",5,-110
"36","T5N125W",5,-125
"37","T5N140W",5,-140
"38","T5N155W",5,-155
"39","T5N165E",5,165
"40","T5N170W",5,-170
"41","T5N180W",5,-180
"42","T5N95W",5,-95
"43","T5S110W",-5,-110
"44","T5S125W",-5,-125
"45","T5S140W",-5,-140
"46","T5S155W",-5,-155
"47","T5S165E",-5,165
"48","T5S170W",-5,-170
"49","T5S180W",-5,-180
"50","T5S95W",-5,-95
"51","T7N132W",7,-132
"52","T7N147W",7,-147
"53","T8N110W",8,-110
"54","T8N125W",8,-125
"55","T8N155W",8,-155
"56","T8N165E",8,165
"57","T8N167E",8,167
"58","T8N168E",8,168
"59","T8N170W",8,-170
"60","T8N180W",8,-180
"61","T8N95W",8,-95
"62","T8S110W",-8,-110
"63","T8S125W",-8,-125
"64","T8S155W",-8,-155
"65","T8S165E",-8,165
"66","T8S170W",-8,-170
"67","T8S180W",-8,-180
"68","T8S95W",-8,-95
"69","T9N140W",9,-140
"70","TR0N138E",0,138
"71","TR0N147E",0,147
"72","TR0N156E",0,156
"73","TR2N138E",2,138
"74","TR2N147E",2,147
"75","TR2N156E",2,156
"76","TR2S156E",-2,156
"77","TR5N137E",5,137
"78","TR5N147E",5,147
"79","TR5N156E",5,156
"80","TR5S156E",-5,156
"81","TR8N130E",8,130
"82","TR8N137E",8,137
"83","TR8N156E",8,156
